Resistance [Ohm],Measured Frequency [Hz]
4000,690.6040268456377
5000,677.7167947310647
6000,657.5079872204473
7000,627.9299014238773
8000,601.5739769150052
9000,589.3095768374164
10000,564.179104477612
11000,540.5515832482124
12000,521.8934911242604
13000,504.5766590389016
14000,487.292817679558
15000,471.65775401069516
16000,455.5785123966942
17000,441.00000000000006
18000,427.69396551724134
19000,415.1673640167364
20000,403.6613272311213
21000,392.8730512249444
22000,383.0024813895782
23000,372.82608695652164
24000,364.03301886792445
25000,355.23590333716913
26000,348.0270574971815
27000,339.9779735682819
28000,333.6696090794452
29000,327.07045735475896
30000,321.1165048543689
31000,315.00000000000006
32000,309.11214953271025
33000,304.1379310344828
34000,298.9830508474576
35000,294.0
36000,289.37007874015745
37000,285.4368932038835
38000,281.1902231668438
39000,277.7078085642318
40000,273.91304347826093
41000,270.22058823529414
42000,266.6263603385732
43000,263.44086021505376
44000,260.0235849056604
45000,257.2928821470245
46000,254.32525951557096
47000,251.7123287671233
48000,248.87133182844246
49000,246.09375
50000,243.98340248962654
51000,241.2472647702407
52000,239.15401301518438
53000,237.0967741935484
54000,234.57446808510636
55000,232.71767810026384
56000,230.64853556485355
57000,228.79377431906616
58000,226.73521850899743
59000,225.00000000000006
60000,223.29113924050634
61000,221.88679245283018
62000,220.22471910112355
63000,218.5873605947955
64000,216.9741697416974
65000,215.47231270358307
66000,214.07766990291262
67000,212.5301204819277
68000,211.3418530351437
69000,209.75029726516053
70000,208.6750788643533
71000,207.28554641598117
72000,206.0747663551402
73000,204.79876160990713
74000,203.6951501154734
75000,202.29357798165134
76000,201.36986301369865
77000,200.45454545454547
78000,199.32203389830508
79000,198.64864864864865
80000,197.0949720670391
81000,196.2908011869436
82000,195.42097488921715
83000,194.27312775330398
84000,193.42105263157893
85000,192.36641221374046
86000,191.73913043478262
87000,191.11592632719393
88000,190.08620689655174
89000,189.2703862660944
90000,188.46153846153845
91000,187.92613636363637
92000,186.864406779661
93000,186.60084626234135
94000,185.48895899053628
95000,184.77653631284915
96000,184.00556328233657
97000,183.49514563106794
98000,182.73480662983425
99000,181.98074277854198
100000,181.4814814814815
101000,180.4911323328786
102000,180.00000000000006
103000,179.26829268292684
104000,178.5425101214575
105000,178.06191117092868
106000,177.82258064516128
107000,176.8716577540107
108000,176.40000000000003
109000,175.69721115537848
110000,175.46419098143235
111000,174.53825857519786
112000,174.30830039525694
113000,173.2809430255403
114000,172.94117647058823
115000,172.490221642764
116000,172.0416124837451
117000,171.5953307392996
118000,171.37305699481863
119000,170.48969072164948
120000,169.9421965317919
121000,169.61538461538464
122000,169.18158567774935
123000,168.75000000000003
124000,168.32061068702288
125000,168.10673443456162
126000,167.68060836501903
127000,166.8348045397226
128000,166.62468513853904
129000,166.41509433962264
130000,165.16853932584266
131000,164.75716064757162
132000,164.55223880597015
133000,163.94052044609663
134000,163.73762376237624
135000,163.33333333333331
136000,162.93103448275858
137000,162.73062730627305
138000,162.3312883435583
139000,161.9339045287638
140000,161.53846153846152
141000,161.14494518879417
142000,161.14494518879414
143000,160.65573770491804
144000,160.55825242718444
145000,160.36363636363637
146000,159.7826086956522
147000,159.58986731001204
148000,159.2057761732852
149000,159.0144230769231
150000,158.91891891891893
160000,156.38297872340428
170000,153.48027842227376
180000,151.54639175257734
190000,149.6606334841629
200000,147.7386934673367
210000,146.02649006622516
220000,144.59016393442624
230000,143.33694474539544
240000,142.25806451612902
250000,141.12
260000,140.22257551669318
270000,139.1167192429022
280000,138.24451410658307
290000,137.597503900156
300000,136.5325077399381
400000,131.25
500000,128.19767441860466
600000,125.64102564102564
700000,124.05063291139241
800000,122.84122562674096
900000,121.9917012448133
1000000,121.15384615384615
inf,116.66666666666666
